,Population 2016,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ranking,,Economy,(thousands),,,,,,,
,,,,,,,,,,,
MLI,62,,Mali,"17,995",,,,,,,
CHL,63,,Chile,"17,910",,,,,,,
KAZ,64,,Kazakhstan,"17,797",,,,,,,
NLD,65,,Netherlands,"17,018",,,,,,,
ZMB,66,,Zambia,"16,591",,,,,,,
GTM,67,,Guatemala,"16,582",,,,,,,
ECU,68,,Ecuador,"16,385",,,,,,,
ZWE,69,,Zimbabwe,"16,150",,,,,,,
KHM,70,,Cambodia,"15,762",,,,,,,
SEN,71,,Senegal,"15,412",,,,,,,
TCD,72,,Chad,"14,453",,,,,,,
SOM,73,,Somalia,"14,318",,,,,,,
GIN,74,,Guinea,"12,396",,,,,,,
SSD,75,,South Sudan,"12,231",,,,,,,
RWA,76,,Rwanda,"11,918",,,,,,,
CUB,77,,Cuba,"11,476",,,,,,,
TUN,78,,Tunisia,"11,403",,,,,,,
BEL,79,,Belgium,"11,348",,,,,,,
BOL,80,,Bolivia,"10,888",,,,,,,
BEN,81,,Benin,"10,872",,,,,,,
HTI,82,,Haiti,"10,847",,,,,,,
GRC,83,,Greece,"10,747",,,,,,,
DOM,84,,Dominican Republic,"10,649",,,,,,,
CZE,85,,Czech Republic,"10,562",,,,,,,
BDI,86,,Burundi,"10,524",,,,,,,
PRT,87,,Portugal,"10,325",,,,,,,
SWE,88,,Sweden,"9,903",,,,,,,
HUN,89,,Hungary,"9,818",,,,,,,
AZE,90,,Azerbaijan,"9,762",,,,,,,
BLR,91,,Belarus,"9,507",,,,,,,
JOR,92,,Jordan,"9,456",,,,,,,
ARE,93,,United Arab Emirates,"9,270",,,,,,,
HND,94,,Honduras,"9,113",,,,,,,
AUT,95,,Austria,"8,747",,,,,,,
TJK,96,,Tajikistan,"8,735",,,,,,,
ISR,97,,Israel,"8,547",,,,,,,
CHE,98,,Switzerland,"8,372",,,,,,,
PNG,99,,Papua New Guinea,"8,085",,,,,,,
TGO,100,,Togo,"7,606",,,,,,,
SLE,101,,Sierra Leone,"7,396",,,,,,,
HKG,102,,"Hong Kong SAR, China","7,347",,,,,,,
BGR,103,,Bulgaria,"7,128",,,,,,,
SRB,104,,Serbia,"7,057",,,,,,,
LAO,105,,Lao PDR,"6,758",,,,,,,
PRY,106,,Paraguay,"6,725",,,,,,,
SLV,107,,El Salvador,"6,345",,,,,,,
LBY,108,,Libya,"6,293",,,,,,,
NIC,109,,Nicaragua,"6,150",,,,,,,
KGZ,110,,Kyrgyz Republic,"6,083",,,,,,,
LBN,111,,Lebanon,"6,007",,,,,,,
DNK,112,,Denmark,"5,731",,,,,,,
TKM,113,,Turkmenistan,"5,663",,,,,,,
SGP,114,,Singapore,"5,607",,,,,,,
FIN,115,,Finland,"5,495",,,,,,,
SVK,116,,Slovak Republic,"5,429",,,,,,,
NOR,117,,Norway,"5,233",,,,,,,
COG,118,,"Congo, Rep.","5,126",,,,,,,
CRI,119,,Costa Rica,"4,857",,,,,,,
IRL,120,,Ireland,"4,773",,,,,,,
NZL,121,,New Zealand,"4,693",,,,,,,
LBR,122,,Liberia,"4,614",,,,,,,
CAF,123,,Central African Republic,"4,595",,,,,,,
PSE,124,,West Bank and Gaza,"4,552",,,,,,,
OMN,125,,Oman,"4,425",,,,,,,
MRT,126,,Mauritania,"4,301",,,,,,,
HRV,127,,Croatia,"4,171",,,,,,,
KWT,128,,Kuwait,"4,053",,,,,,,
PAN,129,,Panama,"4,034",,,,,,,
GEO,130,,Georgia,"3,719",a,,,,,,
MDA,131,,Moldova,"3,552",b,,,,,,
BIH,132,,Bosnia and Herzegovina,"3,517",,,,,,,
URY,133,,Uruguay,"3,444",,,,,,,
PRI,134,,Puerto Rico,"3,411",,,,,,,
MNG,135,,Mongolia,"3,027",,,,,,,
ARM,136,,Armenia,"2,925",,,,,,,
JAM,137,,Jamaica,"2,881",,,,,,,
ALB,138,,Albania,"2,876",,,,,,,
LTU,139,,Lithuania,"2,872",,,,,,,
QAT,140,,Qatar,"2,570",,,,,,,
NAM,141,,Namibia,"2,480",,,,,,,
BWA,142,,Botswana,"2,250",,,,,,,
LSO,143,,Lesotho,"2,204",,,,,,,
MKD,144,,"Macedonia, FYR","2,081",,,,,,,
SVN,145,,Slovenia,"2,065",,,,,,,
GMB,146,,"Gambia, The","2,039",,,,,,,
GAB,147,,Gabon,"1,980",,,,,,,
LVA,148,,Latvia,"1,960",,,,,,,
XKX,149,,Kosovo,"1,816",,,,,,,
GNB,150,,Guinea-Bissau,"1,816",,,,,,,
BHR,151,,Bahrain,"1,425",,,,,,,
TTO,152,,Trinidad and Tobago,"1,365",,,,,,,
SWZ,153,,Swaziland,"1,343",,,,,,,
EST,154,,Estonia,"1,316",,,,,,,
TLS,155,,Timor-Leste,"1,269",,,,,,,
MUS,156,,Mauritius,"1,263",,,,,,,
GNQ,157,,Equatorial Guinea,"1,221",,,,,,,
CYP,158,,Cyprus,"1,170",,,,,,,
DJI,159,,Djibouti,942,,,,,,,
FJI,160,,Fiji,899,,,,,,,
BTN,161,,Bhutan,798,,,,,,,
COM,162,,Comoros,796,,,,,,,
GUY,163,,Guyana,773,,,,,,,
MNE,164,,Montenegro,623,,,,,,,
MAC,165,,"Macao SAR, China",612,,,,,,,
SLB,166,,Solomon Islands,599,,,,,,,
LUX,167,,Luxembourg,583,,,,,,,
SUR,168,,Suriname,558,,,,,,,
CPV,169,,Cabo Verde,540,,,,,,,
MLT,170,,Malta,437,,,,,,,
BRN,171,,Brunei Darussalam,423,,,,,,,
MDV,172,,Maldives,417,,,,,,,
BHS,173,,"Bahamas, The",391,,,,,,,
BLZ,174,,Belize,367,,,,,,,
ISL,175,,Iceland,334,,,,,,,
BRB,176,,Barbados,285,,,,,,,
PYF,177,,French Polynesia,280,,,,,,,
NCL,178,,New Caledonia,278,,,,,,,
VUT,179,,Vanuatu,270,,,,,,,
STP,180,,São Tomé and Principe,200,,,,,,,
WSM,181,,Samoa,195,,,,,,,
LCA,182,,St. Lucia,178,,,,,,,
CHI,183,,Channel Islands,165,,,,,,,
GUM,184,,Guam,163,,,,,,,
CUW,185,,Curaçao,160,,,,,,,
KIR,186,,Kiribati,114,,,,,,,
VCT,187,,St. Vincent and the Grenadines,110,,,,,,,
GRD,188,,Grenada,107,,,,,,,
TON,189,,Tonga,107,,,,,,,
FSM,190,,"Micronesia, Fed. Sts.",105,,,,,,,
ABW,191,,Aruba,105,,,,,,,
VIR,192,,Virgin Islands (U.S.),103,,,,,,,
ATG,193,,Antigua and Barbuda,101,,,,,,,
SYC,194,,Seychelles,95,,,,,,,
IMN,195,,Isle of Man,84,,,,,,,
AND,196,,Andorra,77,,,,,,,
DMA,197,,Dominica,74,,,,,,,
BMU,198,,Bermuda,65,,,,,,,
CYM,199,,Cayman Islands,61,,,,,,,
GRL,200,,Greenland,56,,,,,,,
ASM,201,,American Samoa,56,,,,,,,
MNP,202,,Northern Mariana Islands,55,,,,,,,
KNA,203,,St. Kitts and Nevis,55,,,,,,,
MHL,204,,Marshall Islands,53,,,,,,,
FRO,205,,Faroe Islands,49,,,,,,,
SXM,206,,Sint Maarten (Dutch part),40,,,,,,,
MCO,207,,Monaco,38,,,,,,,
LIE,208,,Liechtenstein,38,,,,,,,
TCA,209,,Turks and Caicos Islands,35,,,,,,,
GIB,210,,Gibraltar,34,,,,,,,
SMR,211,,San Marino,33,,,,,,,
MAF,212,,St. Martin (French part),32,,,,,,,
VGB,213,,British Virgin Islands,31,,,,,,,
PLW,214,,Palau,22,,,,,,,
NRU,215,,Nauru,13,,,,,,,
TUV,216,,Tuvalu,11,,,,,,,
,,,,,,,,,,,
WLD,,,World,"7,442,136",,,,,,,
,,,,,,,,,,,
EAS,,,East Asia & Pacific,"2,296,786",,,,,,,
ECS,,,Europe & Central Asia,"911,995",,,,,,,
LCN,,,Latin America & Caribbean,"637,664",,,,,,,
MEA,,,Middle East & North Africa,"436,721",,,,,,,
NAC,,,North America,"359,479",,,,,,,
SAS,,,South Asia,"1,766,383",,,,,,,
SSF,,,Sub-Saharan Africa,"1,033,106",,,,,,,
LIC,,,Low income,"659,273",,,,,,,
LMC,,,Lower middle income,"3,012,924",,,,,,,
UMC,,,Upper middle income,"2,579,910",,,,,,,
HIC,,,High income,"1,190,029",,,,,,,
,,,,,,,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.  ,,,,,,,,,,
,,,,,,,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
